epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.6043613970279693,0.71875,0.8015156842064144,0.5342992663383483,0.8375,0.9149468417761101
2,0.3557369694113731,0.9125,0.9506621352396578,0.36074501276016235,0.8625,0.9199499687304564
3,0.20645402148365974,0.93125,0.9783975936560021,0.351479697227478,0.8875,0.900562851782364
4,0.16016387939453125,0.94375,0.9838274932614555,0.42519212067127227,0.875,0.8993120700437773
5,0.13747899122536184,0.953125,0.9841009414430251,0.4604710519313812,0.8875,0.8830519074421513
